,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
23,550.015904823939,69.09358455048046,219.88125475247702,1.2437243417178063,1,3,1,poly,"{'C': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",0.9750625,0.974625,0.975,0.9748958333333334,0.00019320038532285577,1,1.0,1.0,1.0,1.0,0.0
24,715.2778012752533,1.6030897259219474,263.88454699516296,1.1957530279298392,1,4,0.01,poly,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",0.9635625,0.961,0.96275,0.9624375000000001,0.0010692189516963728,18,1.0,1.0,1.0,1.0,0.0
25,860.2891947428385,110.05715723470315,360.7263589700063,21.650678126514272,1,4,0.1,poly,"{'C': 1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",0.9635625,0.961,0.96275,0.9624375000000001,0.0010692189516963728,18,1.0,1.0,1.0,1.0,0.0
26,835.9743525981903,109.22372430267112,308.3857187430064,48.87473904146535,1,4,1,poly,"{'C': 1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",0.9635625,0.961,0.96275,0.9624375000000001,0.0010692189516963728,18,1.0,1.0,1.0,1.0,0.0
27,286.51269276936847,47.62755070551825,235.4517538547516,36.863973426630864,0.001,,,linear,"{'C': 0.001, 'kernel': 'linear'}",0.935375,0.9329375,0.93675,0.9350208333333333,0.0015764653676993818,29,0.94765625,0.94771875,0.94571875,0.9470312500000001,0.0009284283314648668
28,238.01070396105447,9.680186181094411,206.67567308743796,14.313723327115044,0.01,,,linear,"{'C': 0.01, 'kernel': 'linear'}",0.9380625,0.934,0.9378125,0.9366250000000002,0.0018589591621836759,28,0.964875,0.96571875,0.964375,0.9649895833333333,0.0005545346522585762
29,260.7035340468089,5.299127883780651,198.04778003692627,7.604451599856964,0.1,,,linear,"{'C': 0.1, 'kernel': 'linear'}",0.9273125,0.9225,0.9266875,0.9255,0.002136610438677737,30,0.98334375,0.98425,0.98321875,0.9836041666666665,0.0004595155208356622
30,314.4069330692291,5.7353085020317,210.04968563715616,2.470642314800029,1,,,linear,"{'C': 1, 'kernel': 'linear'}",0.91625,0.910625,0.916875,0.9145833333333333,0.0028105703256733343,31,0.99290625,0.9935,0.99371875,0.993375,0.00034327618861009016
31,2971.8696496486664,103.77237115309515,821.622745513916,32.520781214706744,0.01,,0.01,rbf,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.307,0.210875,0.20825,0.24204166666666663,0.04594497766048235,34,0.315125,0.21321875,0.21284375,0.2470625,0.04812769878796408
32,3880.4348571300507,456.4606653330851,936.3844414552053,136.39908756840424,0.01,,0.1,rbf,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.11225,0.1145625,0.1150625,0.11395833333333333,0.0012250992023324276,36,0.1148125,0.11365625,0.11340625,0.11395833333333333,0.0006125496011662138
33,4214.07186460495,100.7526632728007,1038.3813683191936,18.98651427190225,0.01,,1,rbf,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",0.11225,0.1145625,0.1150625,0.11395833333333333,0.0012250992023324276,36,0.1148125,0.11365625,0.11340625,0.11395833333333333,0.0006125496011662138
34,2870.386704603831,12.465079932697769,833.4287142753601,8.91424539124584,0.1,,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.5771875,0.5955,0.5776875,0.5834583333333333,0.00851719054161773,33,0.61209375,0.622875,0.60828125,0.6144166666666666,0.006180147848600011
35,3350.469852844874,10.996594135513847,948.4658029874166,70.38646780681353,0.1,,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.11225,0.1145625,0.1150625,0.11395833333333333,0.0012250992023324276,36,0.1148125,0.11365625,0.11340625,0.11395833333333333,0.0006125496011662138
36,3429.514842669169,39.74646335269301,790.4277826944987,63.790503413651685,0.1,,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.11225,0.1145625,0.1150625,0.11395833333333333,0.0012250992023324276,36,0.1148125,0.11365625,0.11340625,0.11395833333333333,0.0006125496011662138
37,2467.2121138572693,233.94712307630715,659.3355642954508,70.72228063706487,1,,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.825625,0.8260625,0.818875,0.8235208333333333,0.0032899520850952057,32,0.9995625,0.99946875,0.99965625,0.9995625,7.654655446197722e-05
38,4187.216175317764,7.478175849160034,995.173631032308,19.123997426824463,1,,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.1784375,0.1780625,0.1800625,0.17885416666666668,0.0008680277773333092,35,1.0,1.0,1.0,1.0,0.0
39,3568.734670241674,348.5734028485506,713.7045526504517,41.91413679025417,1,,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.11225,0.1145625,0.1150625,0.11395833333333333,0.0012250992023324276,36,1.0,1.0,1.0,1.0,0.0
